sample_size,seed,method,requested_coverage,answered,total,actual_coverage,selective_accuracy,risk,wrong_answered,correct_answered,abstained,correct_abstained,incorrect_abstained
3000,17,Confidence + question-aware semantic V2,0.2,600,3000,0.2,0.855,0.145,87,513,2400,754,1646
3000,17,Confidence + question-aware semantic V2,0.3,900,3000,0.3,0.8088888888888889,0.19111111111111112,172,728,2100,539,1561
3000,17,Confidence + question-aware semantic V2,0.4,1200,3000,0.4,0.7508333333333334,0.24916666666666668,299,901,1800,366,1434
3000,17,Confidence + question-aware semantic V2,0.5,1500,3000,0.5,0.6506666666666666,0.34933333333333333,524,976,1500,291,1209
3000,17,Confidence + question-aware semantic V2,0.6,1800,3000,0.6,0.5727777777777778,0.4272222222222222,769,1031,1200,236,964
3000,17,Confidence + question-aware semantic V2,0.7,2100,3000,0.7,0.5190476190476191,0.48095238095238096,1010,1090,900,177,723
3000,17,Confidence + question-aware semantic V2,0.8,2400,3000,0.8,0.4675,0.5325,1278,1122,600,145,455
3000,17,Confidence + question-aware semantic V2,0.9,2700,3000,0.9,0.42148148148148146,0.5785185185185185,1562,1138,300,129,171
3000,17,Confidence + question-aware semantic V2,1.0,3000,3000,1.0,0.42233333333333334,0.5776666666666667,1733,1267,0,0,0
3000,17,Self-verifier only,0.1,300,3000,0.1,0.6533333333333333,0.3466666666666667,104,196,2700,1071,1629
3000,17,Self-verifier only,0.2,600,3000,0.2,0.6366666666666667,0.36333333333333334,218,382,2400,885,1515
3000,17,Self-verifier only,0.3,900,3000,0.3,0.6144444444444445,0.38555555555555554,347,553,2100,714,1386
3000,17,Self-verifier only,0.4,1200,3000,0.4,0.5991666666666666,0.4008333333333333,481,719,1800,548,1252
3000,17,Self-verifier only,0.5,1500,3000,0.5,0.574,0.426,639,861,1500,406,1094
3000,17,Self-verifier only,0.6,1800,3000,0.6,0.5455555555555556,0.45444444444444443,818,982,1200,285,915
3000,17,Self-verifier only,0.7,2100,3000,0.7,0.5171428571428571,0.4828571428571429,1014,1086,900,181,719
3000,17,Self-verifier only,0.8,2400,3000,0.8,0.4945833333333333,0.5054166666666666,1213,1187,600,80,520
3000,17,Self-verifier only,0.9,2700,3000,0.9,0.46444444444444444,0.5355555555555556,1446,1254,300,13,287
3000,17,Self-verifier only,1.0,3000,3000,1.0,0.42233333333333334,0.5776666666666667,1733,1267,0,0,0
3000,17,Confidence + self-verifier,0.1,300,3000,0.1,0.8533333333333334,0.14666666666666667,44,256,2700,1011,1689
3000,17,Confidence + self-verifier,0.2,600,3000,0.2,0.825,0.175,105,495,2400,772,1628
3000,17,Confidence + self-verifier,0.3,900,3000,0.3,0.7944444444444444,0.20555555555555555,185,715,2100,552,1548
3000,17,Confidence + self-verifier,0.4,1200,3000,0.4,0.7716666666666666,0.22833333333333333,274,926,1800,341,1459
3000,17,Confidence + self-verifier,0.5,1500,3000,0.5,0.7346666666666667,0.2653333333333333,398,1102,1500,165,1335
3000,17,Confidence + self-verifier,0.6,1800,3000,0.6,0.66,0.34,612,1188,1200,79,1121
3000,17,Confidence + self-verifier,0.7,2100,3000,0.7,0.5923809523809523,0.4076190476190476,856,1244,900,23,877
3000,17,Confidence + self-verifier,0.8,2400,3000,0.8,0.5241666666666667,0.47583333333333333,1142,1258,600,9,591
3000,17,Confidence + self-verifier,0.9,2700,3000,0.9,0.4685185185185185,0.5314814814814814,1435,1265,300,2,298
3000,17,Confidence + self-verifier,1.0,3000,3000,1.0,0.42233333333333334,0.5776666666666667,1733,1267,0,0,0
